timestamp,service,metric,value,unit
2026-05-06T08:00:00,api-gateway,requests_per_min,1240,count
2026-05-06T08:00:00,api-gateway,error_rate,0.8,percent
2026-05-06T08:00:00,api-gateway,p95_latency,180,ms
2026-05-06T09:00:00,api-gateway,requests_per_min,1580,count
2026-05-06T09:00:00,api-gateway,error_rate,1.2,percent
2026-05-06T09:00:00,api-gateway,p95_latency,210,ms
2026-05-06T10:00:00,api-gateway,requests_per_min,1820,count
2026-05-06T10:00:00,api-gateway,error_rate,4.5,percent
2026-05-06T10:00:00,api-gateway,p95_latency,520,ms
2026-05-06T11:00:00,api-gateway,requests_per_min,1950,count
2026-05-06T11:00:00,api-gateway,error_rate,8.2,percent
2026-05-06T11:00:00,api-gateway,p95_latency,890,ms
2026-05-06T08:00:00,db-primary,connections,45,count
2026-05-06T08:00:00,db-primary,query_p95,12,ms
2026-05-06T09:00:00,db-primary,connections,52,count
2026-05-06T09:00:00,db-primary,query_p95,18,ms
2026-05-06T10:00:00,db-primary,connections,78,count
2026-05-06T10:00:00,db-primary,query_p95,45,ms
2026-05-06T11:00:00,db-primary,connections,95,count
2026-05-06T11:00:00,db-primary,query_p95,120,ms
