timestamp,service,metric,value,unit
2026-05-07T08:00:00,api-gateway,requests_per_min,1300,count
2026-05-07T08:00:00,api-gateway,requests_per_min,1300,count
2026-05-07T08:00:00,api-gateway,error_rate,1.0,percent
,api-gateway,p95_latency,200,ms
2026-05-07T09:00:00,api-gateway,error_rate,99.9,percent
2026-05-07T09:00:00,api-gateway,p95_latency,15000,ms
2026-05-07T10:00:00,api-gateway,requests_per_min,0,count
2026-05-07T10:00:00,api-gateway,error_rate,,percent
2026-05-07T11:00:00,db-primary,connections,9999,count
2026-05-07T11:00:00,db-primary,query_p95,abc,ms
