timestamp,service,metric,value,unit
2026-05-07T00:00:00,api-gateway,requests_per_min,1583.7,count
2026-05-07T00:00:00,api-gateway,error_rate,0.8,percent
2026-05-07T00:00:00,api-gateway,p95_latency,182.0,ms
2026-05-07T00:00:00,api-gateway,connections,44.5,count
2026-05-07T00:00:00,api-gateway,query_p95,16.4,ms
2026-05-07T00:00:00,db-primary,requests_per_min,1606.0,count
2026-05-07T00:00:00,db-primary,error_rate,1.2,percent
2026-05-07T00:00:00,db-primary,p95_latency,167.0,ms
2026-05-07T00:00:00,db-primary,connections,48.4,count
2026-05-07T00:00:00,db-primary,query_p95,12.2,ms
2026-05-07T00:00:00,auth,requests_per_min,1331.2,count
2026-05-07T00:00:00,auth,error_rate,1.0,percent
2026-05-07T00:00:00,auth,p95_latency,162.1,ms
2026-05-07T00:00:00,auth,connections,44.0,count
2026-05-07T00:00:00,auth,query_p95,15.9,ms
2026-05-07T00:00:00,queue,requests_per_min,1527.0,count
2026-05-07T00:00:00,queue,error_rate,0.9,percent
2026-05-07T00:00:00,queue,p95_latency,207.1,ms
2026-05-07T00:00:00,queue,connections,56.2,count
2026-05-07T00:00:00,queue,query_p95,12.0,ms
2026-05-07T00:00:00,cache,requests_per_min,1683.5,count
2026-05-07T00:00:00,cache,error_rate,1.1,percent
2026-05-07T00:00:00,cache,p95_latency,187.2,ms
2026-05-07T00:00:00,cache,connections,43.1,count
2026-05-07T00:00:00,cache,query_p95,17.7,ms
2026-05-07T01:00:00,api-gateway,requests_per_min,1402.0,count
2026-05-07T01:00:00,api-gateway,error_rate,0.8,percent
2026-05-07T01:00:00,api-gateway,p95_latency,167.7,ms
2026-05-07T01:00:00,api-gateway,connections,56.9,count
2026-05-07T01:00:00,api-gateway,query_p95,15.6,ms
2026-05-07T01:00:00,db-primary,requests_per_min,1684.3,count
2026-05-07T01:00:00,db-primary,error_rate,1.1,percent
2026-05-07T01:00:00,db-primary,p95_latency,202.9,ms
2026-05-07T01:00:00,db-primary,connections,59.5,count
2026-05-07T01:00:00,db-primary,query_p95,14.3,ms
2026-05-07T01:00:00,auth,requests_per_min,1531.2,count
2026-05-07T01:00:00,auth,error_rate,1.1,percent
2026-05-07T01:00:00,auth,p95_latency,209.5,ms
2026-05-07T01:00:00,auth,connections,57.2,count
2026-05-07T01:00:00,auth,query_p95,15.5,ms
2026-05-07T01:00:00,queue,requests_per_min,1622.7,count
2026-05-07T01:00:00,queue,error_rate,0.8,percent
